"Nome_u"	"Dia_P"	"Mes_P"	"Ano_P"	"Cidade"	"Estado"	"Mes_exp"	"Ano_exp"	"Comentario"
"178"	"KeciaFerreira"	"23"	"abril"	"2014"	"Palmas"	"TO"	"abril"	"2014"	"O fervedouro com certeza não vai te decepcionar. Apesar de pequeno e comportar apenas 6 pessoas por 20 minutos ainda sim é o ponto alto da viagem. A água não te deixa afundar, você rica com areia ate as pernas. Tem que caminhar um pouco até chegar ao local e lá não tem nada mesmo, só uns bancos de madeira, mas vale ir."
"179"	"wally c"	"22"	"abril"	"2014"	"Rio"	"Janeiro"	"abril"	"2014"	"Os fervedouros são pequenos lagos de areia branca e finíssima , onde em seu centro,geralmente, há uma sucção e ao mesmo tempo um impulso que não te deixa afundar. É bom levar toalha, roupa de baixo para se trocar. Há em geral local precário, mas que dá para tirar a roupa molhada. Ao sair do fervedouro coloque repelente."
"180"	"Rtamisar"	"13"	"abril"	"2014"	"São Paulo"	"SP"	"julho"	"2013"	"Lugar único e sensacional.A sensação de estar em um dos fervedouros é completamente diferente de tudo o que já vi."
"181"	"vitoralmeida89"	"7"	"abril"	"2014"	"São Paulo"	"SP"	"abril"	"2014"	"Ao visitar o Jalapão, o Fervedouro é uma atração indispensável. Sensação muito agradável, nos faz voltar a ser criança. Muito legal."
"182"	"Ari_Serp_Tav"	"4"	"abril"	"2014"	"Colinas do Tocantins"	"TO"	"março"	"2014"	"Sensação fantástica e inigualável. O local é lindo e bem preservado. Paga-se uma taxa pequena para entrar, sendo o tempo limitado, visto que não cabem muitas pessoas ao mesmo tempo."
"183"	"paullinia"	"4"	"abril"	"2014"	"Porto"	"Alegre"	"março"	"2014"	"eu nunca tinha entrado em um, achei muito estranho e muito legal! só estando em um pra entender como que \"funciona\""
"184"	"Alexandre M"	"30"	"março"	"2014"	"São Paulo"	"SP"	"abril"	"2013"	"Uma ressurgência de água no meio da terra e que forma uma piscina natural que te impede de afundar, te mantendo boiando, mesmo que você queira ir para baixo.Essa é a descrição do que é um fervedouro, mas só entrando num você vai saber o quão diferente é estar ali."
"185"	"Carolina M"	"27"	"março"	"2014"	"Goiânia"	"GO"	"março"	"2014"	"Os fervedouros da região são uma atração maravilhosa! É uma experiência incrível entrar em um fervedouro! Muito top!"
"186"	"CamilaFln"	"9"	"março"	"2014"	"Brasília Distrito"	"Federal"	"fevereiro"	"2014"	"Eu achei o Jalapao um lugar lindo, mas não sei se o tempo de trajeto até lá, de carro, vale para quem dispõe de poucos dias. Mesmo tendo sido uma viagem corrida, acho que o que mais vale a pena é o fervedouro.  É muito legal. Da vontade de ficar muito tempo dentro da água! Nos que fomos, só se pode entrar de cinco em cinco pessoas. Se há outro grupo aguardando, cada grupo só pode ficar cinco minutos. São lugares pequenos, com água relativamente parada, por isso eles limites. Também não sei pode entrar com protetor solar, para manter a água limpa.É muito legal! Ao entrar todos ficam como crianças, tentando afundar um ao outro, mergulhar, pular etc. Da vontade de ficar lá por horas, porque é muito agradável.Aliás, o nome dos fervedouros remete a água fervendo, mas lembre-se que este é o aspecto visual de algumas bolhas que saem da água e da pressão da água que sobe e não te deixa afundar. Entretanto, a água não é quente nem morna. Não é gelada como a de uma cachoeira, mas tb não é quentinha. É uma temperatura bem boa :)"
"187"	"FconeryJr"	"26"	"fevereiro"	"2014"	"Recife"	"PE"	"julho"	"2013"	"Local incrível, onde você experimenta a sensação de flutuar dentro d'água, pois não conseguimos tocar no fundo do poço em razão da força da nascente elevando você para cima.;   "
"188"	"Bruneski"	"26"	"fevereiro"	"2014"	"Rio Janeiro"	"RJ"	"fevereiro"	"2014"	"Uma das atrações mais peculiares da região do Jalapão. São diversos espalhados por uma pequena região. Um dos mais interessantes é o Fervedouro da Glorinha.Os fervedouros são poços criados pela ressurgência (na superfície) de rios subterrâneos. Como o terreno da região é quase estritamente arenoso, com areia muito fina, o fluxo ascendente de água faz com que muita areia fique em suspensão na água.Esta mistura, de alta densidade, impede que o banhista afunde, mesmo que tente!!!"
"189"	"MatsPosca"	"21"	"fevereiro"	"2014"	"São Paulo"	"SP"	"janeiro"	"2014"	"agua perfeita e paisagem deslumbrante, nascentes de agua limpida e pura. Veja as fotos e não perca !"
"190"	"vera t"	"19"	"fevereiro"	"2014"	"Aracaju"	"SE"	"fevereiro"	"2014"	"Uau, muito bom. Parece que você está pisando em areia movediça.Agua morna e muita beleza ao redor.Fui com a agência Rota da Iguana."
"191"	"daniel q"	"12"	"fevereiro"	"2014"	"Palmas"	"TO"	"abril"	"2013"	"um poço que não se vê o fundo e nele não se afunda. Fica no meio de um local inabitado, com acesso apenas a veículo traçado"
"192"	"vcfs"	"2"	"fevereiro"	"2014"	"County Durham Reino"	"Unido"	"fevereiro"	"2014"	"Só entrando lá pra saber o quão divertido é.... muito legal, além disso a água é azulzinha e linda, é um atrativo muito diferente, obrigatório pra quem vai conhecer o Jalapão."
"193"	"Roberta1601"	"29"	"janeiro"	"2014"	"Rio Janeiro"	"RJ"	"janeiro"	"2014"	"A ressurgência da água é um fenômeno interessante que impede que as pessoas afundem. A sensação de ficar flutuando em cima do ponto onde a água surge é maravilhoso.Local de água límpida e areia clara. Parada obrigatória para qualquer visitante.O número de visitantes que podem entrar ao mesmo tempo nos fervedouros é limitado, entre 6 e 7 pessoas.Fervedouros: do Nilo, do Ceiça, de São Félix."
"194"	"Fernanda A"	"27"	"janeiro"	"2014"	"Belo Horizonte"	"MG"	"dezembro"	"2013"	"O fervedouro é uma atração turística muito bonita e diferente, vale a pena conhecer. A visita é paga, mas muito boa!"
"195"	"AntonioL1978"	"26"	"janeiro"	"2014"	"Curitiba"	"PR"	"agosto"	"2013"	"Sem palavras. Um lugar mágico, surreal, incrível, com uma energia sem igual. Um dos lugares mais bonitos, singulares e cênicos que já estive em minha vida. Água de cor azul piscina, areia branquinha (formada por cristais bem fininhos), paisagem de palmeiras ao redor ... só indo para conferir, vale muito a pena, não deixe de visitar em hipótese alguma. Só preste atenção na estrada, pois para chegar lá é necessário um bom 4x4, se não for o caso ou se tiver pena do seu carro, prefira contratar o traslado. Eu mesmo tive prejuízo com a manutenção do meu veículo, que é um SUV traçado, mas não é tão off-road quanto a estrada exige. Guias são necessários e, se não me engano, são obrigatórios por lá."
"196"	"flamelflamelhotmail"	"26"	"janeiro"	"2014"	"Córrego do Bom Jesus"	"MG"	"janeiro"	"2014"	"Adorei o lugar, nunca tinha ido num lugar tão interessante, a agua vinda de baixo e entrando numa piscina natural é muito interessante e bonito, o legal que você fica sobre a nascente da agua boiando e não afunda."
"197"	"Leo1608"	"26"	"janeiro"	"2014"	"São Paulo"	"SP"	"novembro"	"2013"	"É um lago pequeno de areia branca cuja água brota do fundo e você não consegue afundar de jeito nenhum. E do lado tem um riacho legal (também com correnteza forte) pra tirar a areia do fervedouro. Só podem entrar 6 pessoas por vez. Tem que conhecer!"
"198"	"Crispicosse"	"22"	"janeiro"	"2014"	"São Paulo São"	"Paulo"	"dezembro"	"2013"	"É impossível descrever a sensação de estar no fervedouro. Um tipo de areia movediça, água morna, e a sensação de não afundar... A areia em suspensão até seus joelhos, e a água transparente.  Pena que quando estive no fervedouro Firmeza estava chovendo e comprometeu a cor da água. Já no Buriti ela estava bem transparente e era possível ver a areia em movimento, \"fervendo\". Experiência única."
"199"	"gibaferreira"	"21"	"janeiro"	"2014"	"São Paulo"	"SP"	"janeiro"	"2014"	"Inacreditável, água hiper transparente com areia branquíssima e superfina, ninguém afunda, só conhecendo para crer e conhecer a sensação de boiar mesmo contra a vontade. Vale a pena conhecer e retornar. "
"200"	"Margaux67"	"11"	"janeiro"	"2014"	"Uberlândia"	"MG"	"julho"	"2013"	"A sensação de leveza e flutuabilidade que esta pequena lagoa provoca é transcendental, uma água morna, que aflora em grande pressão, muito cristalina na superfície, porem com grande quantidade de sílica suspensa nas áreas de maior pressão. Quando esta sílica atinge os olhos, pode arder um pouco, por mais fina que seja. É realmente difícil descrever a sensação de nadar neste lago, mas vale cada dificuldade que se passa para chegar até lá.Esta região do Jalapão, tem pouca infraestrutura, a dica é sempre abastecer o carro de combustível, usar um veículo alto, se possível 4X4, e andar com dinheiro, pois quem aceita cartão é raridade no local. Cobraram 5 reais por pessoa para entrar, e meia entrada não existe."
"201"	"AnaliaTahara"	"9"	"janeiro"	"2014"	"Santo André"	"SP"	"dezembro"	"2013"	"Não dá pra descrever, tem que experimentar! A areia é tão fina que dá a sensação de estar numa argila, mas é pesada e afunda logo, por isso a água não fica turva. O Fervedouro é de águas transparentes e mornas. Só não abra os olhos debaixo da água porque a areia é muito fina e provoca ardor. E vc não consegue afundar de jeito nenhum! Depois do banho no Fervedouro, tem um riacho perto onde dá pra tirar o excesso da areia do corpo. Uma delícia!"
"202"	"Deni S"	"9"	"janeiro"	"2014"	"Carajás"	"Para"	"janeiro"	"2014"	"Atração muito bacana, localizada no jalapão, proxima a cidade de mateiros. Nascente de água muito forte, água muito limpinha, areia branca. Experiência única. Aproveite para conhecer a cachoeira da formiga e a comunidade de mumbuca onde você encontrará artesanato em capim Dourado."
"203"	"FlaviaSantos2013"	"9"	"janeiro"	"2014"	"Sete Lagoas"	"MG"	"fevereiro"	"2013"	"Essa atração é muito legal e diferente. Água cristalina, quentinha (com a temperatura ambiente quente) e borbulhante e você não afunda. Muito interessante mesmo."
"204"	"vivianchikui"	"2"	"janeiro"	"2014"	"São Paulo"	"SP"	"dezembro"	"2013"	"Um fervedouro é uma nascente de água doce. É muito diferente nadar nesses lugares porque as nascentes te impedem de afundar e as areias fazem cócegas nos pés. Vale muito a pena conhecer!Não esqueça de levar lanches, pois não há lanchonete no local."
"205"	"Fernanda N"	"2"	"janeiro"	"2014"	NA	NA	"fevereiro"	"2013"	"É um lugar louco...que sai bolhas do chão....água quente....delicia!! Vale a pena entrar....a perna fica até o joelho afundada na areia, mas vc n sente que está pisando no chão...."
"206"	"RodrigoPeixoto"	"31"	"dezembro"	"2013"	"Curitiba"	"PR"	"abril"	"2013"	"Uma experiência única. A água super transparente e cristalina revela uma surpresa e tanto. O susto ao se afundar pela primeira vez é demais. Muito bacana. Como tudo no Jalapão, levar lanche e bebidas."
"207"	"Silvia S"	"30"	"dezembro"	"2013"	"Belo Horizonte"	"MG"	"dezembro"	"2013"	"O fervedouro é lindo, a água é  super limpa.Parece areia movediça...rsrsMas a água te joga para cima e você não afunda.O acesso é fácil e tem que pagar R$ 10,00 por pessoa."
"208"	"Mariluce A"	"8"	"novembro"	"2013"	"Curitiba"	"PR"	"dezembro"	"2012"	"Parece areia movediça mas ela te joga para cima e você não consegue afundar!!!! nunca vi nada igual."
"209"	"Amor-perfeito"	"27"	"outubro"	"2013"	"Rio Janeiro"	"RJ"	"outubro"	"2013"	"Gostei da sensação de estar no olho d'água e não afundar, é muito surpreendente, não temos o Mar Morto, mas deve ser melhor."
"210"	"Akemi M"	"23"	"outubro"	"2013"	"São Paulo"	"SP"	"setembro"	"2013"	"A princípio fiquei com medo de não conseguir flutuar, logo você \"pega\" o jeito e o triste é que você tem que sair d´água e dar lugar aos colegas. Adorei!!!"
"211"	"Marciaviporaiegostei"	"16"	"outubro"	"2013"	"Palmas"	"TO"	"maio"	"2013"	"É indescritível.  É um poço de água borbulhante por causa das nascentes que tem dentro.A água  azul e morna te empurra para cima o tempo todo. Não dá vontade de sair de dentro."
"212"	"queroviajarmais"	"29"	"setembro"	"2013"	"Estado São"	"Paulo"	"setembro"	"2013"	"Esse foi o motivo que me fez querer visitar o Jalapão. Ter a sensação de flutuar sob as águas cristalinas do fervedouro, é algo que todos deveriam experimentar. "
"213"	"koguis"	"24"	"setembro"	"2013"	"campinas"	NA	"outubro"	"2012"	"É incrível a sensação de tentar afundar e não conseguir...A água é límpida e morna...muito convidativa...Vc vai se divertir muito!!"
"214"	"Gildete"	"21"	"setembro"	"2013"	"São"	"Paulo"	"setembro"	"2013"	"Sítio muito interessante e agradável. Bem conservado e  limpo. A sensação de boiar é incrível! é preciso manter o corpo em movimento, pernas ou braços para manter o equilíbrio. Depois é só relaxar!"
"215"	"Roberto D"	"27"	"agosto"	"2013"	"Fortaleza"	"CE"	"agosto"	"2013"	"Um dos ápices da viagem ao Jalapão é sem dúvida o fervedouro. Aqui você tenta mergulhar, mas não consegue. A aguá lhe expulsa. Muito massa!"
"216"	"GabrielaT67"	"26"	"agosto"	"2013"	"São Paulo"	"SP"	"agosto"	"2013"	"Eu nunca poderia acreditar que houvesse algo assim no meio do Jalapão! A sensação é maravilhosa e indescritível!"
"217"	"Maria Cristina H"	"24"	"agosto"	"2013"	"Ponta Grossa"	"PR"	"dezembro"	"2012"	"Um oásis no meio do serrado. Muito lindo mesmo...um banho em aguas em temperatura agradável....merecido, depois de enfrentar as estradas do Jalapão."
"218"	"MKoche"	"23"	"agosto"	"2013"	"Palmas"	"TO"	"novembro"	"2012"	"Agua brotando da terra com uma forca incrivel!A ausencia de banheiros publicos no local, é lamentavel."
"219"	"Beatriz R"	"22"	"agosto"	"2013"	"Palmas"	"Tocantins"	"dezembro"	"2012"	"Se você acha que já viu de tudo na vida, prepare-se para uma surpresa. Depois de caminhar por entre o serrado você vai se deparar com um pequena piscina natural com um fundo de areia cercado por lindas palmeiras. Não é só. A água é de um azul transparente e quando você tentar afundar não conseguirá, pois a pressão te impulsionará para cima. Imperdível."
"220"	"Verena P"	"20"	"agosto"	"2013"	"Guarapuava"	"PR"	"agosto"	"2013"	"Não tem como ir ao Jalapão e não dar uma passada nos fervedouros. A sensação de banho ali é simplesmente indescritível!!! Maravilhoso! Deveria estar entre as maravilhas do mundo!"
"221"	"DiogenesAraujo"	"15"	"agosto"	"2013"	"São Paulo"	"SP"	"agosto"	"2013"	"Poços naturais de nascente de água.Águas quentes e cristalinas, pode-se nadar tranquilamente, mesmo quem não sabe nadar.A pressão da água não  deixa o corpo afundar."
"222"	"Rpgf"	"12"	"agosto"	"2013"	NA	NA	"julho"	"2013"	"Para chegar precisa fazer uma leve caminhada, mas vale a pena pois chegando percebemos a beleza do Fervedouro. Um poço cuja areia fica borbulhando envolto por bananeiras . Você nao afunda "
"223"	"Duegu"	"30"	"julho"	"2013"	"Palmas"	"TO"	"agosto"	"2012"	"Como pode existir um local tão lindo como esse? Entrar no fervedouro é uma sensação única. A natureza é perfeita."
"224"	"AndreaGold"	"27"	"abril"	"2013"	"São Paulo"	"SP"	"abril"	"2013"	"Atraçao imperdível!! O lugar é muito interessante e apesar da limitação de tempo e de quantidade de pessoas que podem entrar de uma unica vez no fervedouro, a experiencia vale a viagem!"
"225"	"carlanog"	"25"	"fevereiro"	"2013"	"Iguape Sao"	"Paulo"	"fevereiro"	"2013"	"Muito legal conhecer o Fervedouro. Há vários na região, mas acho que o mais famoso é do Sr. Ceiça (Conceição). Acesso pela comunidade Quilombola Mumbuca. Você não afunda tamanha a força da água que brota do chão. INCRÍVEL! Confesso que entrou areia em lugares do meu corpo nunca antes explorados! ;)"
"226"	"PARAISODOBRASIL"	"25"	"fevereiro"	"2013"	"Rio Janeiro"	"RJ"	"maio"	"2012"	"bom apreciar as belesas deo brasil todo “Como é bom descobrir as maravilhas do nosso Brasil!!!”Depois de alguns kilometros no meio do cerrado do Jalapão, encontrar essa nascente de águas transparentes, cheia de peixinhos e a experiência de não afundar (mesmo querendo) é indescritívelmente curiosa e revigorante! As crianças adoraram e ficaram ligadas com a lenda de que crianças que mentem para os pais afundam no fervedouro ! Foi muito gostoso esse passeio! Vale a pena!"
"227"	"Ricardo_magnani"	"7"	"janeiro"	"2013"	"Campinas"	"SP"	"dezembro"	"2012"	"Depois de alguns kilometros no meio do cerrado do Jalapão, encontrar essa nascente de águas transparentes, cheia de peixinhos e a experiência de não afundar (mesmo querendo) é indescritívelmente curiosa e revigorante! As crianças adoraram e ficaram ligadas com a lenda de que crianças que mentem para os pais afundam no fervedouro ! Foi muito gostoso esse passeio! Vale a pena!"
"228"	"Maria Jose A"	"28"	"dezembro"	"2012"	"São Paulo São"	"Paulo"	"julho"	"2012"	"Ao entardecer, depois de andar pelas estradas do Jalapão, com um calor imenso, banhar-se  nas águas cristalinas do Fervedouro, é algo indescritivel, um imenso prazer, que a natureza me proporcionou..."
"229"	"NIZIA"	"26"	"outubro"	"2012"	"São Paulo"	"SP"	"outubro"	"2012"	"Lugar maravilhoso, aguas azuis, bem preservado, rodeadom por arvores e mata um lago , parece um paraiso."
"230"	"Vinícius X"	"12"	"setembro"	"2012"	"Palmas"	"TO"	"setembro"	"2012"	"Conhecer os fervedouros do Jalapão já é uma experiência visualmente gratificante. No entanto, não é possível descrever em palavras como é entrar nesta piscina natural. A água é puríssima, translúcida e fresca. A areia pesada e branca não deixa a água turva e, no local da nascente, parece alterar a densidade da água, empurrando o corpo de quem tenta adentrá-la, para fora. Espetacular e imperdível."
"231"	"djalmabritto"	"23"	"abril"	"2014"	"Brasília"	"DF"	"abril"	"2014"	""
"232"	"tatitbm"	"21"	"março"	"2018"	NA	NA	"março"	"2018"	""
